,spring,winter,PAINS (HPA),QNH AERODROME (HPA),QFE R06 (HPA),TEMP (°C),RH (%),DEWPOINT (°C),WS2A (MPS),WD2A,CW2A (MPS),LIGHTS,WhatTime,label
0,0.0,1.0,1023.3,1024.84,1023.28,8.6,90,7.06,3.78,86,1.78,10,8,7074
1,0.0,1.0,1023.3,1024.84,1023.28,8.6,90,7.06,3.74,89,1.93,10,8,7447
2,0.0,1.0,1023.3,1024.84,1023.28,8.7,90,7.16,4.01,87,1.94,10,8,6751
3,0.0,1.0,1023.3,1024.84,1023.28,8.8,90,7.26,4.25,89,2.19,10,8,7644
4,0.0,1.0,1023.3,1024.84,1023.28,8.9,90,7.36,4.32,90,2.29,10,8,7929
5,0.0,1.0,1023.3,1024.84,1023.28,9.0,89,7.3,4.65,93,2.67,10,8,8285
6,0.0,1.0,1023.3,1024.84,1023.28,9.1,89,7.39,4.93,95,2.97,10,8,7965
7,0.0,1.0,1023.2,1024.74,1023.18,9.2,88,7.33,4.74,95,2.85,10,8,8008
8,0.0,1.0,1023.3,1024.84,1023.28,9.2,87,7.16,4.49,94,2.64,10,8,8298
9,0.0,1.0,1023.3,1024.85,1023.28,9.2,87,7.16,4.37,94,2.57,10,8,8357
10,0.0,1.0,1023.3,1024.85,1023.28,9.2,87,7.16,4.2,95,2.53,10,8,8310
11,0.0,1.0,1023.3,1024.85,1023.28,9.3,87,7.26,4.45,93,2.55,10,8,8253
12,0.0,1.0,1023.3,1024.85,1023.28,9.4,87,7.36,4.72,91,2.57,10,8,8235
13,0.0,1.0,1023.3,1024.85,1023.28,9.4,86,7.19,4.64,92,2.59,10,8,8021
14,0.0,1.0,1023.3,1024.85,1023.28,9.5,86,7.29,4.58,94,2.69,10,8,8347
15,0.0,1.0,1023.3,1024.85,1023.28,9.5,86,7.29,4.45,94,2.61,10,8,8264
16,0.0,1.0,1023.3,1024.85,1023.28,9.5,85,7.12,4.15,92,2.32,10,8,8201
17,0.0,1.0,1023.3,1024.85,1023.28,9.6,85,7.22,4.3,92,2.4,10,8,8186
18,0.0,1.0,1023.3,1024.85,1023.28,9.6,85,7.22,4.34,92,2.43,10,8,7816
19,0.0,1.0,1023.3,1024.85,1023.28,9.7,85,7.32,3.94,93,2.26,10,8,7749
20,0.0,1.0,1023.3,1024.85,1023.28,9.7,85,7.32,4.04,94,2.38,10,8,8166
21,0.0,1.0,1023.3,1024.85,1023.28,9.8,85,7.42,4.14,92,2.31,10,8,8329
22,0.0,1.0,1023.3,1024.85,1023.28,9.8,84,7.24,4.23,91,2.3,10,8,8777
23,0.0,1.0,1023.3,1024.85,1023.28,9.9,84,7.34,4.08,91,2.22,10,8,8211
24,0.0,1.0,1023.3,1024.85,1023.28,9.9,84,7.34,4.38,95,2.63,10,8,8271
25,0.0,1.0,1023.3,1024.85,1023.28,9.8,85,7.42,4.47,100,2.99,10,8,8158
26,0.0,1.0,1023.3,1024.85,1023.28,9.8,84,7.24,3.82,98,2.46,10,8,7972
27,0.0,1.0,1023.3,1024.85,1023.28,9.8,84,7.24,3.82,94,2.25,10,8,7894
